movieId,title,genres,year,rated,runtime,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes
1238,Local Hero,Comedy,1983,PG,111 min,Bill Forsyth,Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.,English|Japanese|Russian,UK,Won 1 BAFTA Film Award. Another 3 wins & 6 nominations.,7.4,18408.0
858,The Godfather,Crime|Drama,1972,R,175 min,Francis Ford Coppola,Francis Ford Coppola (screenplay by)|Mario Puzo (based on the novel by)|Mario Puzo (screenplay by),"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,English|Italian|Latin,USA,Won 3 Oscars. Another 24 wins & 28 nominations.,9.2,1408749.0
1270,Back to the Future,Adventure|Comedy|Sci-Fi,1985,PG,116 min,Robert Zemeckis,Bob Gale|Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",English,USA,Won 1 Oscar. Another 19 wins & 25 nominations.,8.5,911581.0
1265,Groundhog Day,Comedy|Fantasy|Romance,1993,PG,101 min,Harold Ramis,Danny Rubin (screenplay)|Danny Rubin (story)|Harold Ramis (screenplay),"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",A weatherman finds himself inexplicably living the same day over and over again.,English|French|Italian,USA,Won 1 BAFTA Film Award. Another 6 wins & 17 nominations.,8.0,533490.0
2488,Peeping Tom,Drama|Horror|Thriller,1960,NOT RATED,101 min,Michael Powell,Leo Marks (original story)|Leo Marks (screenplay),"Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley","A young man murders women, using a movie camera to film their dying expressions of terror.",English,UK,N/A,7.7,26488.0
898,The Philadelphia Story,Comedy|Drama|Romance,1940,NOT RATED,112 min,George Cukor,Donald Ogden Stewart (screen play)|Philip Barry (based on the play by),"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",English|French,USA,Won 2 Oscars. Another 3 wins & 5 nominations.,8.0,57268.0
2247,Married to the Mob,Comedy,1988,R,104 min,Jonathan Demme,Barry Strugatz|Mark R. Burns,"Paul Lazar, Alec Baldwin, Captain Haggerty, Marlene Willoughby","An undercover FBI agent falls in love with a recently widowed mafia wife, who is trying to restart her life following her husband's murder while being pursued by a libidinous mafia kingpin seeking to claim her for himself.",English,USA,Nominated for 1 Oscar. Another 6 wins & 4 nominations.,6.1,14424.0
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994,R,154 min,Quentin Tarantino,Quentin Tarantino|Quentin Tarantino (stories)|Roger Avary (stories),"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",English|French|Spanish,USA,Won 1 Oscar. Another 62 wins & 69 nominations.,8.9,1602423.0
1016,The Shaggy Dog,Children|Comedy,1959,APPROVED,104 min,Charles Barton,Bill Walsh (screenplay)|Felix Salten (novel)|Lillie Hayward (screenplay),"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello",A teenage boy is cursed with periodically turning into an sheepdog.,English,USA,1 win & 1 nomination.,6.5,3658.0
1212,The Third Man,Film-Noir|Mystery|Thriller,1949,NOT RATED,93 min,Carol Reed,Graham Greene (by)|Graham Greene (screen play),"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",English|German|Russian,UK,Won 1 Oscar. Another 4 wins & 4 nominations.,8.2,141070.0
950,The Thin Man,Comedy|Crime,1934,NOT RATED,91 min,W.S. Van Dyke,Albert Hackett (screen play)|Dashiell Hammett (from the novel by)|Frances Goodrich (screen play),"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",English,USA,Nominated for 4 Oscars. Another 3 wins.,8.1,23834.0
1198,Raiders of the Lost Ark,Action|Adventure,1981,PG,115 min,Steven Spielberg,George Lucas (story by)|Lawrence Kasdan (screenplay by)|Philip Kaufman (story by),"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Arabic|English|German|Hebrew|Nepali|Spanish,USA,Won 4 Oscars. Another 30 wins & 23 nominations.,8.5,793034.0
1344,Cape Fear,Crime|Drama|Thriller,1962,NOT RATED,106 min,J. Lee Thompson,James R. Webb (screenplay)|John D. MacDonald (novel),"Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin",A lawyer's family is stalked by a man he once helped put in jail.,English,USA,N/A,7.8,23497.0
3152,The Last Picture Show,Drama,1971,R,118 min,Peter Bogdanovich,Larry McMurtry (novel)|Larry McMurtry (screenplay)|Peter Bogdanovich (screenplay),"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",English,USA,Won 2 Oscars. Another 16 wins & 22 nominations.,8.1,37027.0
3008,Last Night,Drama|Sci-Fi,1998,R,95 min,Don McKellar,Don McKellar,"Don McKellar, Sandra Oh, Roberta Maxwell, Robin Gammell",A group of very different individuals with different ideas of how to face the end come together as the world is expected to end in six hours at the turn of the century.,English|French,Canada|France,12 wins & 22 nominations.,7.2,8753.0
28,Persuasion,Drama|Romance,1995,PG,107 min,Roger Michell,Jane Austen (novel)|Nick Dear (screenplay),"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",English,France|UK|USA,7 wins & 2 nominations.,7.7,8758.0
497,Much Ado About Nothing,Comedy|Romance,1993,PG-13,111 min,Kenneth Branagh,Kenneth Branagh (adaptation)|William Shakespeare (play),"Richard Briers, Kate Beckinsale, Imelda Staunton, Jimmy Yuill","Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",English,UK|USA,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,7.4,41718.0
1296,A Room with a View,Drama|Romance,1985,NOT RATED,117 min,James Ivory,E.M. Forster (novel)|Ruth Prawer Jhabvala (screenplay),"Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands","When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting...",English|Italian,UK,Won 3 Oscars. Another 21 wins & 23 nominations.,7.4,35154.0
2018,Bambi,Animation|Children|Drama,1942,G,70 min,Bill Roberts|David Hand|Graham Heid|James Algar|Norman Wright|Paul Satterfield|Samuel Armstrong,Carl Fallberg (story development)|Chuck Couch (story development)|Felix Salten (from the story by)|Larry Morey (story adaptation)|Mel Shaw (story development)|Perce Pearce (story direction)|Ralph Wright (story development)|Vernon Stallings (story development),"Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn",The story of a young deer growing up in the forest.,English,USA,Nominated for 3 Oscars. Another 5 wins & 3 nominations.,7.3,115222.0
2583,Cookie's Fortune,Comedy|Drama,1999,PG-13,118 min,Robert Altman,Anne Rapp,"Glenn Close, Julianne Moore, Liv Tyler, Chris O'Donnell",Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,English,USA,2 wins & 11 nominations.,6.9,11625.0
1276,Cool Hand Luke,Drama,1967,GP,126 min,Stuart Rosenberg,Donn Pearce (novel)|Donn Pearce (screenplay)|Frank Pierson (screenplay),"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",English,USA,Won 1 Oscar. Another 3 wins & 9 nominations.,8.1,145650.0
3359,Breaking Away,Comedy|Drama,1979,PG,101 min,Peter Yates,Steve Tesich,"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley",A small-town boy obsessed with the Italian cycling team vies for the affections of a college girl.,English|French|Italian,USA,Won 1 Oscar. Another 10 wins & 14 nominations.,7.7,19756.0
3435,Double Indemnity,Crime|Drama|Film-Noir,1944,PASSED,107 min,Billy Wilder,Billy Wilder (screenplay)|James M. Cain (from the novel by)|Raymond Chandler (screenplay),"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,English,USA,Nominated for 7 Oscars. Another 2 wins & 2 nominations.,8.3,124717.0
2331,Living Out Loud,Comedy|Drama|Romance,1998,R,100 min,Richard LaGravenese,Richard LaGravenese,"Holly Hunter, Danny DeVito, Queen Latifah, Martin Donovan","Judith Nelson quit her medical studies to marry. Years later, her husband, a physician, divorces her to be with another doctor. Deeply frustrated, she now lives alone in her luxury ...",English,USA,5 nominations.,6.6,4335.0
2750,Radio Days,Comedy|Drama,1987,PG,88 min,Woody Allen,Woody Allen,"Mike Starr, Paul Herman, Don Pardo, Martin Rosenblatt",A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium.,English|Italian|Spanish,USA,Nominated for 2 Oscars. Another 3 wins & 7 nominations.,7.6,28330.0
3072,Moonstruck,Comedy|Romance,1987,PG,102 min,Norman Jewison,John Patrick Shanley,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",English|Italian,USA,Won 3 Oscars. Another 15 wins & 19 nominations.,7.1,42388.0
908,North by Northwest,Action|Adventure|Mystery|Romance|Thriller,1959,NOT RATED,136 min,Alfred Hitchcock,Ernest Lehman,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis","A hapless New York City advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",English|French,USA,Nominated for 3 Oscars. Another 8 wins & 4 nominations.,8.3,266309.0
3481,High Fidelity,Comedy|Drama|Romance,2000,R,113 min,Stephen Frears,D.V. DeVincentis (screenplay)|John Cusack (screenplay)|Nick Hornby (book)|Scott Rosenberg (screenplay)|Steve Pink (screenplay),"John Cusack, Iben Hjejle, Todd Louiso, Jack Black","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",Danish|English,UK|USA,Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,7.5,157156.0
1148,The Wrong Trousers,Animation|Children|Comedy|Crime,1993,NOT RATED,30 min,Nick Park,Bob Baker|Brian Sibley (additional contributions by)|Nick Park|Nick Park (characters),Peter Sallis,"Wallace takes in a new lodger, a devious penguin. Sporting some techno-trousers, the penguin plans a grand theft, a plan that involves putting Wallace in danger.",English,UK,Won 1 Oscar. Another 12 wins.,8.3,46745.0
4036,Shadow of the Vampire,Drama|Horror,2000,R,92 min,E. Elias Merhige,Steven Katz,"John Malkovich, Willem Dafoe, Udo Kier, Cary Elwes",The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,English|German|Luxembourgish,Luxembourg|UK|USA,Nominated for 2 Oscars. Another 14 wins & 24 nominations.,6.9,37323.0
2062,The Governess,Drama|Romance,1998,R,115 min,Sandra Goldbacher,Sandra Goldbacher,"Minnie Driver, Tom Wilkinson, Florence Hoath, Jonathan Rhys Meyers","When the father of privileged Rosina da Silva violently dies, she decides to pass herself off as a gentile and finds employment with a family in faraway Scotland. Soon she and the family ...",English,UK,3 wins & 3 nominations.,6.3,2683.0
2069,The Trip to Bountiful,Drama,1985,PG,108 min,Peter Masterson,Horton Foote (play)|Horton Foote (screenplay),"Geraldine Page, John Heard, Carlin Glynn, Richard Bradford","In 1940s Texas, an elderly woman is determined to visit her childhood home for one last time.",English,USA,Won 1 Oscar. Another 6 wins & 6 nominations.,7.6,3497.0
3512,Return to Me,Drama|Romance,2000,PG,115 min,Bonnie Hunt,Andrew Stern (story)|Bonnie Hunt (screenplay)|Bonnie Hunt (story)|Don Lake (screenplay)|Don Lake (story)|Samantha Goodman (story),"David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,English|Italian,USA,1 win & 2 nominations.,6.9,18311.0
223,Clerks,Comedy,1994,R,92 min,Kevin Smith,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",English,USA,5 wins & 10 nominations.,7.8,199387.0
2090,The Rescuers,Adventure|Animation|Children|Crime|Drama,1977,G,78 min,Art Stevens|John Lounsbery|Wolfgang Reitherman,"""Burny Mattinson (story)|David Michener (story)|Dick Sebast (story)|Frank Thomas (story)|Fred Lucky (story)|Ken Anderson (story)|Larry Clemmons (story)|Margery Sharp (suggested by """"The Rescuers"""" and """"Miss Bianca"""" by)|Ted Berman (story)|Vance Gerry (story)""","Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn",Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,English,USA,Nominated for 1 Oscar. Another 2 wins.,6.9,51071.0
3083,All About My Mother,Drama,1999,R,101 min,Pedro Almodóvar,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan","Young Esteban wants to become a writer and also to discover the identity of his father, carefully concealed by his mother Manuela.",Catalan|Spanish,France|Spain,Won 1 Oscar. Another 56 wins & 38 nominations.,7.9,79499.0
1208,Apocalypse Now,Action|Drama|War,1979,R,147 min,Francis Ford Coppola,Francis Ford Coppola|John Milius|Michael Herr (narration),"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.",English|French|Vietnamese,USA,Won 2 Oscars. Another 18 wins & 31 nominations.,8.5,536594.0
3260,Howards End,Drama,1992,PG,142 min,James Ivory,E.M. Forster (novel)|Ruth Prawer Jhabvala (screenplay),"Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett, Emma Thompson",A businessman thwarts his wife's bequest of an estate to another woman.,English|German,Japan|UK|USA,Won 3 Oscars. Another 29 wins & 48 nominations.,7.5,25156.0
926,All About Eve,Drama,1950,NOT RATED,138 min,Joseph L. Mankiewicz,Joseph L. Mankiewicz (written for the screen by),"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,English|French,USA,Won 6 Oscars. Another 17 wins & 17 nominations.,8.3,105473.0
111,Taxi Driver,Crime|Drama|Thriller,1976,R,114 min,Martin Scorsese,Paul Schrader,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",English|Spanish,USA,Nominated for 4 Oscars. Another 21 wins & 15 nominations.,8.3,623480.0
1729,Jackie Brown,Crime|Drama|Thriller,1997,R,154 min,Quentin Tarantino,Elmore Leonard (novel)|Quentin Tarantino (written for the screen by),"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,English,USA,Nominated for 1 Oscar. Another 8 wins & 21 nominations.,7.5,276374.0
6993,Hannah and Her Sisters,Comedy|Drama|Romance,1986,PG-13,107 min,Woody Allen,Woody Allen,"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",English,USA,Won 3 Oscars. Another 22 wins & 27 nominations.,7.9,60797.0
1207,To Kill a Mockingbird,Drama,1962,NOT RATED,129 min,Robert Mulligan,"""Harper Lee (based on her novel """"To Kill a Mockingbird"""")|Horton Foote (screenplay)""","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",English,USA,Won 3 Oscars. Another 10 wins & 16 nominations.,8.3,266124.0
1244,Manhattan,Comedy|Drama|Romance,1979,R,96 min,Woody Allen,Marshall Brickman|Woody Allen,"Woody Allen, Diane Keaton, Michael Murphy, Mariel Hemingway",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,English,USA,Nominated for 2 Oscars. Another 15 wins & 21 nominations.,8.0,120066.0
4246,Bridget Jones's Diary,Comedy|Drama|Romance,2001,R,97 min,Sharon Maguire,Andrew Davies (screenplay)|Helen Fielding (novel)|Helen Fielding (screenplay)|Richard Curtis (screenplay),"Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner",A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,English,France|UK|USA,Nominated for 1 Oscar. Another 8 wins & 29 nominations.,6.7,202672.0
906,Gaslight,Drama|Thriller,1944,NOT RATED,114 min,George Cukor,John L. Balderston (screenplay)|John Van Druten (screenplay)|Patrick Hamilton (play)|Walter Reisch (screenplay),"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty","Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.",English,USA,Won 2 Oscars. Another 3 wins & 7 nominations.,7.8,20355.0
1288,This Is Spinal Tap,Comedy,1984,R,82 min,Rob Reiner,Christopher Guest|Harry Shearer|Michael McKean|Rob Reiner,"Rob Reiner, Kimberly Stringer, Chazz Dominguez, Shari Hall","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",English,USA,2 wins & 2 nominations.,8.0,
2108,L.A. Story,Comedy|Romance,1991,PG-13,95 min,Mick Jackson,Steve Martin,"Steve Martin, Victoria Tennant, Richard E. Grant, Marilu Henner","With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",English,USA,1 nomination.,6.7,27575.0
581,The Celluloid Closet,Documentary,1995,R,102 min,Jeffrey Friedman|Rob Epstein,Armistead Maupin (narration)|Jeffrey Friedman (story)|Rob Epstein (story)|Sharon Wood (story)|Vito Russo (book),"Lily Tomlin, Tony Curtis, Susie Bright, Arthur Laurents",A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,English,France|Germany|UK|USA,Nominated for 4 Primetime Emmys. Another 7 wins & 4 nominations.,7.8,5395.0
912,Casablanca,Drama|Romance,1942,PG,102 min,Michael Curtiz,Howard Koch (screenplay)|Joan Alison (play)|Julius J. Epstein (screenplay)|Murray Burnett (play)|Philip G. Epstein (screenplay),"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.,English|French|German|Italian,USA,Won 3 Oscars. Another 5 wins & 9 nominations.,8.5,466517.0
1266,Unforgiven,Drama|Western,1992,R,130 min,Clint Eastwood,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",English,USA,Won 4 Oscars. Another 44 wins & 45 nominations.,8.2,334828.0
1304,Butch Cassidy and the Sundance Kid,Action|Western,1969,PG,110 min,George Roy Hill,William Goldman,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",English|Spanish,USA,Won 4 Oscars. Another 16 wins & 14 nominations.,8.1,184412.0
1172,Cinema Paradiso,Drama,1988,R,155 min,Giuseppe Tornatore,Giuseppe Tornatore (screenplay)|Giuseppe Tornatore (story)|Richard Epcar (english version)|Vanna Paoli (collaborating writer),"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Italian,France|Italy,Won 1 Oscar. Another 23 wins & 31 nominations.,8.5,196382.0
1089,Reservoir Dogs,Crime|Mystery|Thriller,1992,R,99 min,Quentin Tarantino,Quentin Tarantino|Quentin Tarantino (background radio dialogue written by)|Roger Avary (background radio dialogue written by),"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",English,USA,12 wins & 22 nominations.,8.3,805335.0
1267,The Manchurian Candidate,Crime|Thriller|War,1962,PG-13,126 min,John Frankenheimer,George Axelrod (screenplay)|Richard Condon (based upon a novel by),"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,English,USA,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,8.0,67033.0
